ID,Timestamp,Date du match,Adversaire,Abréviation,Score final (ARS-ADV),"Verdict du match (perdu = 0, gagné = 1, égalité = 0.5)","Lieu du match (Away = 0, Home = 1)",Nom du stade,"Joueurs ayant marqué pour Arsenal (séparé par un ""+"")",Cartons jaune (ARS),Cartons rouge (ARS),Joueurs ayant marqué pour l'Adversaire,Cartons jaunes (ADV),Cartons rouges (ADV),Lien Instagram du post pour ce match,Likes,Comments,Heure de publication,Heure du match (CET),TIME (UCT),Temps total,,Avec mi-temps,Temps mis pour poster,Postion dans le classement,Scraped status
1,23/03/2022 11:00:53,13/08/2021,Brentford,BRE,0-2,0,0,Brentford Community Stadium,,,,Canos(22)+Norgaard(73),,,https://www.instagram.com/p/CSh1nrUogJD/,267000,37100,20:54:00,21:00:00,19:00:00,96,01:36:00,01:51:00,00:03:00,1,kinda
2,23/03/2022 11:05:24,22/08/2021,Chelsea,CHE,0-2,0,1,Emirates Stadium,,Holding+Mari+Lokonga,,Lukaku(15)+James(35),,,https://www.instagram.com/p/CS4ot4tDhnX/,138000,21400,17:23:00,17:30:00,15:30:00,94,01:34:00,01:49:00,00:04:00,17,FALSE
3,23/03/2022 11:20:59,28/08/2021,Manchester City,MCI,0-5,0,0,City of Manchester Stadium,,Cédric+Kolasinac,Xhaka,Gündogan+Torres(2)+Jesus+Rodri,Rodri,,https://www.instagram.com/p/CTHp4TXjXme/,270000,46200,13:22:00,13:30:00,11:30:00,94,01:34:00,01:49:00,00:03:00,19,FALSE
4,23/03/2022 11:24:57,11/09/2021,Norwich City,NOR,1-0,1,1,Emirates Stadium,Aubameyang(66),White,,,Hanley+Aarons,,https://www.instagram.com/p/CTr-68aqp2y/,217000,5196,15:59:00,16:00:00,14:00:00,95,01:35:00,01:50:00,00:09:00,20,TRUE
5,23/03/2022 11:28:05,18/09/2021,Burnley,BUR,1-0,1,0,Turf Moor,Odegaard(30),,,,Westwood+Barnes,,https://www.instagram.com/p/CT-AHEZKOae/,230000,4574,15:56:00,16:00:00,14:00:00,95,01:35:00,01:50:00,00:06:00,17,TRUE
6,23/03/2022 11:31:07,26/09/2021,Tottenham,TOT,3-1,1,1,Emirates Stadium,Rowe(12)+Aubameyang(27)+Saka(34),Odegaard,,Son(79),,,https://www.instagram.com/p/CUSxkNsqSwT/,523000,7776,17:33:00,17:30:00,15:30:00,96,01:36:00,01:51:00,00:12:00,13,TRUE
7,23/03/2022 11:35:54,02/10/2021,Brighton,BRI,0-0,0.5,0,Falmer Stadium,,Thomas,,,Veltman+Maupay,,https://www.instagram.com/p/CUiT0zIKwAg/,130000,4160,18:22:00,18:30:00,16:30:00,94,01:34:00,01:49:00,00:03:00,10,TRUE
8,23/03/2022 11:39:43,18/10/2021,Crystal Palace,CRY,2-2,0.5,1,Emirates Stadium,Aubameyang(8)+Lacazette(95),Saka,,Benteke(50)-Edouard(73),McArthur,,https://www.instagram.com/p/CVLzozGq3es/,159000,4797,21:07:00,17:30:00,15:30:00,100,01:40:00,01:55:00,03:42:00,13,FALSE
9,23/03/2022 11:42:44,22/10/2021,Aston Villa,AVL,3-1,1,1,Emirates Stadium,Partey(23)+Aubameyang(51)+Rowe(56),Lokonga+Aubameyang,,Ramsey(82),Watkins+Targett+Luiz+McGinn+Mings,,https://www.instagram.com/p/CVWH6piKVux/,355000,2897,21:17:00,21:00:00,19:00:00,102,01:42:00,01:57:00,00:20:00,12,TRUE
10,23/03/2022 11:44:38,30/10/2021,Leicester City,LEI,2-0,1,0,King Power Stadium,Gabriel(5)+Rowe)(18),,,,Evans+Vardy,,https://www.instagram.com/p/CVp4NWAKMTy/,274000,4885,13:25:00,13:30:00,11:30:00,96,01:36:00,01:51:00,00:04:00,10,TRUE
11,23/03/2022 11:48:13,07/11/2021,Watford,WAT,1-0,1,1,Emirates Stadium,Rowe(56),Tomiyasu+gabriel+Lokonga+Aubameyang,,,King+Sissoko,Kucka,https://www.instagram.com/p/CV-wyO7KqD_/,218000,4265,16:04:00,15:00:00,13:00:00,98,01:38:00,01:53:00,01:11:00,7,TRUE
12,23/03/2022 11:50:39,20/11/2021,Liverpool,LIV,0-4,0,0,Anfield,,,,Mané(39)+Jota(52)+Salah(73)+Minamino(77),Fabinho+Mané,,https://www.instagram.com/p/CWglphLoL5F/,179000,9137,19:20:00,18:30:00,16:30:00,94,01:34:00,01:49:00,01:01:00,5,FALSE
13,23/03/2022 11:52:41,27/11/2021,Newcastle,NEW,2-0,1,1,Emirates Stadium,Saka(56)+Martinelli(66),Aubameyang,,,Ritchie+lascelles+Krafth,,https://www.instagram.com/p/CWyFb_oqcs9/,266000,4017,14:25:00,13:30:00,11:30:00,100,01:40:00,01:55:00,01:00:00,5,FALSE
14,23/03/2022 11:56:11,02/12/2021,Manchester United,MUN,2-3,0,0,Old Trafford,Rowe(13)+Odegaard(54),,,Fernandes(44)+Ronaldo(52)+Ronaldo(70P),Mctominay,,https://www.instagram.com/p/CW_ysEuo2wB/,172000,13300,22:11:00,21:15:00,19:15:00,97,01:37:00,01:52:00,01:04:00,5,FALSE
15,23/03/2022 11:58:59,06/12/2021,Everton,EVE,1-2,0,0,Goodison Park,Odegaard(47),Xhaka+Odegaard,,Richarlison(80)+Gray(92),Godfrey+Gray,,https://www.instagram.com/p/CXKEKswKGnt/,201000,21800,21:56:00,21:00:00,19:00:00,100,01:40:00,01:55:00,01:01:00,7,kinda out of memory
16,23/03/2022 12:00:57,11/12/2021,Southampton,SOU,3-0,1,1,Emirates Stadium,Lacazette(21)+Odegaard(27)+Gabriel(62),Gabriel+Saka,,,,,https://www.instagram.com/p/CXWZccXqNlK/,222000,2661,16:53:00,16:00:00,14:00:00,94,01:34:00,01:49:00,01:04:00,7,TRUE
17,23/03/2022 12:03:01,15/12/2021,Westham,WHU,2-0,1,1,Emirates Stadium,Martinelli(48)+Rowe(87),Ramsdale+Martinelli,,,,Coufal,https://www.instagram.com/p/CXhPXg7qa9D/,281000,5399,21:56:00,21:00:00,19:00:00,96,01:36:00,01:51:00,01:05:00,6,TRUE
18,23/03/2022 12:05:45,18/12/2021,Leeds United,LEE,4-1,1,0,Elland Road,Martinelli(16)+Martinelli(28)+Saka(42)+Rowe(84),Xhaka,,Raphinha(75P),Koch+Dallas+Gelhardt,,https://www.instagram.com/p/CXosvJ9qiCw/,301000,3513,19:28:00,18:30:00,16:30:00,93,01:33:00,01:48:00,01:10:00,4,FALSE
19,23/03/2022 12:09:13,26/12/2021,Norwich City,NOR,5-0,1,0,Carrow Road,Saka(6)+Tierney(44)+Saka(67)+Lacazette(84P)+Rowe(91),Xhaka+Partey,,,Placheta,,https://www.instagram.com/p/CX9BeqrqIM2/,395000,5897,16:54:00,16:00:00,14:00:00,93,01:33:00,01:48:00,01:06:00,4,TRUE
20,23/03/2022 12:10:58,01/01/2022,Manchester City,MCI,1-2,0,1,Emirates Stadium,Saka(31),Saka+Xhaka,Gabriel,Mahrez(57P)+Rodri(93),Rodri+Silva,,https://www.instagram.com/p/CYMNr0uqqiw/,271000,16600,14:29:00,13:32:00,11:32:00,98,01:38:00,01:53:00,01:04:00,4,TRUE
21,23/03/2022 12:12:34,23/01/2022,Burnley,BUR,0-0,0.5,1,Emirates Stadium,,,,,Brownhill+Westwood,,https://www.instagram.com/p/CZFBfTpqT27/,119000,6182,15:59:00,15:01:00,13:01:00,94,01:34:00,01:49:00,01:09:00,7,TRUE
22,23/03/2022 12:14:23,10/02/2022,Wolves,WOL,1-0,1,0,Molineux Stadium,Martinelli(69),Gabriel+Partey+Xhaka,Martinelli,,Neves+Saïss,,https://www.instagram.com/p/CZz-ue9q3sZ/,170000,3073,21:39:00,20:45:00,18:45:00,98,01:38:00,01:53:00,01:01:00,6,TRUE
23,23/03/2022 12:16:02,19/02/2022,Brentford,BRE,2-1,1,1,Emirates Stadium,Rowe(48)+Saka(79),Gabriel,,Norgaard,Jansson,,https://www.instagram.com/p/CaKqS7zq8Km/,283000,2739,17:03:00,16:00:00,14:00:00,96,01:36:00,01:51:00,01:12:00,6,FALSE
24,23/03/2022 12:17:45,24/02/2022,Wolves,WOL,2-1,1,1,Emirates Stadium,Pépé(82)+Sà(95OG),Saka,,Hee-chan(10),Jiménez,,https://www.instagram.com/p/CaYDo6rqqrI/,424000,8027,21:55:00,20:45:00,18:45:00,95,01:35:00,01:50:00,01:20:00,6,TRUE
25,23/03/2022 12:20:23,06/03/2022,Watford,WAT,3-2,1,0,Vicarage Road,Odegaard(5)+Saka(30)+Martinelli(52),Cédric,,Hernandez(11)+Sissoko(87),Hernandez,,https://www.instagram.com/p/CaxKofToYs2/,228000,3083,15:57:00,15:00:00,13:00:00,97,01:37:00,01:52:00,01:05:00,6,FALSE
26,23/03/2022 12:22:18,13/03/2022,Leicester City,LEI,2-0,1,1,Emirates Stadium,Partey(11)+Lacazette(59P),,,,Iheanacho+Söyüncü,,https://www.instagram.com/p/CbDdYCwq6sl/,266000,4100,18:27:00,17:30:00,15:30:00,96,01:36:00,01:51:00,01:06:00,5,TRUE
27,23/03/2022 12:23:55,16/03/2022,Liverpool,LIV,0-2,0,1,Emirates Stadium,,,,Jota(54)+Firmino(62),,,https://www.instagram.com/p/CbLknBUqXg5/,160000,6325,22:04:00,21:15:00,19:15:00,94,01:34:00,01:49:00,01:00:00,4,TRUE
28,23/03/2022 12:25:49,19/03/2022,Aston Villa,AVI,1-0,1,0,Villa Park,Saka(30),Xhaka+Partey+Cédric,,,Ramsey+Mings+McGinn,,https://www.instagram.com/p/CbSfM_IKY8X/,208000,2619,14:32:00,13:30:00,11:30:00,97,01:37:00,01:52:00,01:10:00,4,TRUE
29,,04/04/2022,Crystal Palace,PAL,0-3,0,,Selhurst Park Stadium,,Xhaka+Partey,,Mateta(16)+Ayew(24)+Zaha(62P),,,https://www.instagram.com/p/Cb8X5VdqTRH/,96800,5762,20:56:00,21:00:00,19:00:00,96,01:36:00,01:51:00,00:05:00,5,TRUE
